Question,Answers,Comment,Instructions
"このことは本人に__じかに__伝えてください。
 1. 直接 
 2. あとで 
 3. すべて 
 4. 確実に",1,,問題5 \_\_\_の言葉に意味が最も近いものを1・2・3・4から一つ選びなさい。
"もう少しで__衝突__するところだった。
 1. 倒れる 
 2. 壊れる 
 3. ぶつかる 
 4. 破れる",3,,問題5 \_\_\_の言葉に意味が最も近いものを1・2・3・4から一つ選びなさい。
"高橋さんは、そんな__ひきょう__なやり方はしませんよ。
 1. 危ない 
 2. ずるい 
 3. 厳しい 
 4. しつこい",2,,問題5 \_\_\_の言葉に意味が最も近いものを1・2・3・4から一つ選びなさい。
"この二つのレポートはテーマが__ことなります__。
 1. 単純です 
 2. 似ています 
 3. 複雑です 
 4. 違います",4,,問題5 \_\_\_の言葉に意味が最も近いものを1・2・3・4から一つ選びなさい。
"二人は__たまたま__会ったらしい。
 1. すぐに 
 2. 偶然 
 3. 何度も 
 4. さっき",2,,問題5 \_\_\_の言葉に意味が最も近いものを1・2・3・4から一つ選びなさい。
"その発言がうそだという__あきらかな__証拠があります。
 1. さまざまな 
 2. 別の 
 3. 新しい 
 4. はっきりした",4,,問題5 \_\_\_の言葉に意味が最も近いものを1・2・3・4から一つ選びなさい。
"できるだけ__用心__したほうがいいですよ。
 1. 注意 
 2. 努力 
 3. 我慢 
 4. 遠慮",1,,問題5 \_\_\_の言葉に意味が最も近いものを1・2・3・4から一つ選びなさい。
"会場が急に__そうぞう__しくなった。
 1. 暗く 
 2. 静かに 
 3. うるさく 
 4. 寒く",3,,問題5 \_\_\_の言葉に意味が最も近いものを1・2・3・4から一つ選びなさい。
"この辺りも__物騒になってきた__気がする。
 1. きれいじゃなくなってきた 
 2. うるさくなってきた 
 3. 安全じゃなくなったてきた 
 4. さびしくなってきた",3,,問題5 \_\_の言葉に意味が最も近いものを、1、2、3、4から一つ選びなさい。
"その話を聞いて__落ち込んだ__。
 1. 緊張した 
 2. びっくりした 
 3. がっかりした 
 4. 心配した",3,,問題5 \_\_の言葉に意味が最も近いものを、1、2、3、4から一つ選びなさい。
"__精いっぱい__やったのに、あまり評価されなかった。
 1. せっかく 
 2. 一生懸命 
 3. いろいろ 
 4. 何回も",2,,問題5 \_\_の言葉に意味が最も近いものを、1、2、3、4から一つ選びなさい。
"その話を聞いて、みんな__同情した__。
 1. しかたないと思った 
 2. うらやましいと思った 
 3. なつかしいと思った 
 4. かわいそうだと思った",4,,問題5 \_\_の言葉に意味が最も近いものを、1、2、3、4から一つ選びなさい。
"条件を__定める__必要がある。
 1. 決める 
 2. 伝える 
 3. 調べる 
 4. 合わせる",1,,問題5 \_\_の言葉に意味が最も近いものを、1、2、3、4から一つ選びなさい。
"森さんはこの辺りに店を__所有__しているらしい。
 1. 探して 
 2. 借りて 
 3. 持って 
 4. 建てて",3,,問題５ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"佐藤さんは__おそらく__来ないと思う。
 1. たぶん 
 2. 当然 
 3. やはり 
 4. 絶対",1,,問題５ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"まだ__収納して__いない物がたくさんある。
 1. 集めて 
 2. 預けて 
 3. 返して 
 4. しまって",4,,問題５ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"妹は母に似て__小柄__だ。
 1. 声が小さい 
 2. 力が弱い 
 3. 体が小さい 
 4. 心が弱し",3,,問題５ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"鈴木さんは__無口__だ。
 1. あまり笑わない 
 2. あまり話さない 
 3. あまり怒らない 
 4. あまり食べない",2,,問題５ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"あの人の冷たい態度には__失望した__。
 1. がっかりした 
 2. かっとした 
 3. びっくりした 
 4. ぞっとした",1,,問題５ の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"すぐに仕事に__とりかかります__。
 1. 仕事を探します 
 2. 仕事を始めます 
 3. 仕事を教えます 
 4. 仕事を頼みます",2,,問題５ の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"手書きの文字には書いた人の__人柄__が出る。
 1. 格好 
 2. 体調 
 3. 気分 
 4. 性格",4,,問題５ の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"スピーチは__案の定__うまくできなかった。
 1. あまり 
 2. あいかわらず 
 3. やっぱり 
 4. ぜんぜん",3,,問題５ の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"ごみを__くるんで__捨てた。
 1. 縛って 
 2. 集めて 
 3. 分けて 
 4. 包んで",4,,問題５ の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"高橋さんはとても__愉快な__人だ。
 1. 面白い 
 2. おしゃれな 
 3. 親切な 
 4. かわいい",1,,問題５ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"それは確かに__やむをえない__ことだと思う。
 1. もったいない 
 2. なさけない 
 3. つまらない 
 4. しかたない",4,,問題５ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"少し__息抜きした__ほうがいいよ。
 1. 待った 
 2. 急いだ 
 3. 休んだ 
 4. 働いた",3,,問題５ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"今日はとても__ついていた__。
 1. 気分が悪かった 
 2. 運が悪かった 
 3. 気分がよかった 
 4. 運がよかった",4,,問題５ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"私は__つねに__言葉遣いに気をつけている。
 1. 当然 
 2. いつも 
 3. 特に 
 4. できるだけ",2,,問題５ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"私の会社は__最寄り__の駅から歩いて 15 分です。
 1. 一番大きい 
 2. 一番近い 
 3. 終点の 
 4. 始発の",2,,問題5 の言葉に意味が最も近いものを、1·2·3·4から一つ選びなさい
"演奏会で着るドレスは、いつも近所の店で__レンタルして__います。
 1. 作って 
 2. 買って 
 3. 直して 
 4. 借りて",4,,問題5 の言葉に意味が最も近いものを、1·2·3·4から一つ選びなさい
"村上んはほかの人に__指図__されるのが嫌いだそうだ。
 1. 命令 
 2. 反対 
 3. 注意 
 4. 自慢",1,,問題5 の言葉に意味が最も近いものを、1·2·3·4から一つ選びなさい
"この時期に旅行するなら、かさは__欠かせない__。
 1. ないといい 
 2. あるとじゃまだ 
 3. ないと困る 
 4. あると便利だ",3,,問題5 の言葉に意味が最も近いものを、1·2·3·4から一つ選びなさい
"雨は__依然__強かった。
 1. 確かに 
 2. まだ 
 3. 意外に 
 4. とても",2,,問題5 の言葉に意味が最も近いものを、1·2·3·4から一つ選びなさい
"多くの人が、あの選手のことを今も__記憶__している。
 1. 心配して 
 2. 語って 
 3. 覚えて 
 4. 応援して",3,,問題5: ＿＿＿の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"村さんは__不平__ばかり言っている。
 1. 文句 
 2. 冗談 
 3. うそ 
 4. 自慢",1,,問題5: ＿＿＿の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"あんなことを言われたら、誰だって__むかつく__よ。
 1. 怒る 
 2. 驚く 
 3. 困る 
 4. 怖がる",1,,問題5: ＿＿＿の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"高橋さんがあんなに__勝手な__人だとは思わなかった。
 1. いじわるな 
 2. わがままな 
 3. なさけない 
 4. だらしない",2,,問題5: ＿＿＿の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"今回の件は、__まれな__例です。
 1. 複雑な 
 2. よくある 
 3. ほとんどない 
 4. 単純な",3,,問題5: ＿＿＿の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"この機械を扱うには、特別な __テクニック__が必要だ。
 1. 技術 
 2. 知識 
 3. 工夫 
 4. 訓練",1,,問題5: ＿＿＿の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"青木さんはしばらく黙って__うつむいて__いた。
 1. 遠くを見て 
 2. 目を閉て 
 3. 下を向いて 
 4. 腕を組んで",3,,問題5: ＿＿＿の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"この犬は、本当に __利口__な犬ですね。
 1. かわいい 
 2. 頭がいい 
 3. 元気な 
 4. かっこいい",2,,問題5: ＿＿＿の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"もう少し__用心__したほうがいいんじゃないですか。
 1. 落ち着いた 
 2. がんばった 
 3. よく考えた 
 4. 気をつけた",4,,問題5: ＿＿＿の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"説明が__くどくて__すみません。
 1. つまらなくて 
 2. 下手で 
 3. 複雑で 
 4. しつこくて",4,,問題5: ＿＿＿の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"あまり__勝手な__ことは言わないでくだいさい。
 1. わがままな 
 2. うるさい 
 3. 消極的な 
 4. 情けない",1,,問題５\_\_\_ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"あの人は__たびたび__夜遅くに電話をかけてくる。
 1. たまに 
 2. 何度も 
 3. たいてい 
 4. 突然",2,,問題５\_\_\_ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"この靴は__ぶかぶか__だ。
 1. とても重い 
 2. とても小さい 
 3. とても軽い 
 4. とても大きい",4,,問題５\_\_\_ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"同じ分野の専門家でも、立場によって__見解__が異なる。
 1. 教え方 
 2. 調べ方 
 3. 考え方 
 4. 決め方",3,,問題５\_\_\_ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"先週、車を__レンタルした__。
 1. 修理した 
 2. 借りた 
 3. 検査した 
 4. 買った",2,,問題５\_\_\_ の言葉に意味が最も近いものを、１・２・３・４から一つ選びなさい。
"出張の日程は__おおよそ__決まりました。
 1. だいたい 
 2. すべて 
 3. やっと 
 4. もう",1,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"彼女はとても__行儀__がいい。
 1. アイデア 
 2. サービス 
 3. マナー 
 4. イメージ",3,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"中西さんはいつも__威張って__いる。
 1. 眠そうにして 
 2. 偉そうにして 
 3. 暇そうにして 
 4. 嫌そうにして",2,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"使わない物は、 ここに__収納して__ください。
 1. 並べて 
 2. 捨てて 
 3. 預けて 
 4. しまって",4,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"横山さんは__不平__を言うことが多い。
 1. 冗談 
 2. 文句 
 3. うそ 
 4. わがまま",2,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"昨夜、 家の近くで__妙な__事件が起こった。
 1. 恐ろしい 
 2. 不思議な 
 3. 悲しい 
 4. 重大な",2,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"鈴木さんは相当迷っているらしい。
 1. いろいろ 
 2. まだ 
 3. やっぱり 
 4. かなり",4,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"教室が__やかましくて__、勉強に集中できない。
 1. うるさくて 
 2. 汚くて 
 3. 暑くて 
 4. 暗くて",1,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"中山さんは__帰省して__います。
 1. 出張から戻って 
 2. 部屋に戻って 
 3. ふるさとに戻って 
 4. 休暇から戻って",3,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"林さんは、__いきなり__振り向いた。
 1. やっと 
 2. 一度 
 3. 突然 
 4. ゆっくり",3,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"この仕事はとても__ハード__だ。
 1. 楽しい 
 2. 簡単だ 
 3. 大変だ 
 4. 新しい",3,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"その話を聞いて__動揺__した。
 1. うれしくなった 
 2. 不安になった 
 3. 不満に思った 
 4. 面白いと思った",2,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"早く__引き返した__ほうがいい。
 1. 払った 
 2. 直した 
 3. 戻った。 
 4. 答えた。",3,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"機能を__一層__強化したい。
 1. すぐに 
 2. 少し 
 3. できるだけ 
 4. もっと",4,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"急にひどい頭痛がしてきたので、__かかりつけ__の病院に行った。
 1. いつも行く 
 2. 休日も開いている 
 3. 近くの 
 4. 専門の",1,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"ボランティアで町の名所を__ガイドして__いる。
 1. 案内して 
 2. 宣伝して 
 3. 調査して 
 4. 記録して",1,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"山口さんも__真剣に__作っていた。
 1. 上手に 
 2. 自由に 
 3. 積極的に 
 4. まじめに",4,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"彼女のような歌手は__まれだ__と思う。
 1. あまりいない 
 2. 人気が出ない 
 3. 人気が出る 
 4. たくさんいる",1,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"この道は __終 日__通行止めです。
 1. 週末 
 2. 夜間 
 3. 一日中 
 4. 今日まで",3,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"青木さんは髪を__いじって__いた。
 1. 切って 
 2. 触って 
 3. 洗って 
 4. 乾かして",2,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"佐藤さんが__ガイド__してくれました。
 1. 案内 
 2. 解決 
 3. 応援 
 4. 準備",1,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"この表現は__修正した__ほうがいいですよ。
 1. 調べた 
 2. 覚えた 
 3. 直した 
 4. 使った",3,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"__徐々に__会社に慣れてきた。
 1. ずいぶん 
 2. いつのまにか 
 3. やっと 
 4. 次第に",4,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"青いペンキが__はげて__いる。
 1. 取れて 
 2. ついて 
 3. 乾いて 
 4. こぼれて",1,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"彼女のあの__しぐさ__は印象的だった。
 1. 考え 
 2. 動作 
 3. 着装 
 4. 言葉",2,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4・から一つ選びなさい。
"__とりあえず__社長に電話で話しておいた。
 1. さっき 
 2. すぐに 
 3. 一応 
 4. 直接",3,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"友人がバイクを安く__ゆずって__くれた。
 1. 売って 
 2. 貸して 
 3. 預かって 
 4. 直して",1,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"__雑談__をしているときにいいアイディアが浮かんだ。
 1. あいさつ 
 2. おしゃべり 
 3. 説明 
 4. 報告",2,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"うちの犬はとても__かしこい__。
 1. 頭がいい 
 2. 足が速い 
 3. めずらしい 
 4. おとなしい",1,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"彼の話はいつも__大げさ__だ。
 1. エネルギーがある 
 2. ユーモアがある 
 3. オープンだ 
 4. オーバーだ",4,,問題5\_\_\_の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"眞夏の屋外でずっと仕事をしたら、__くたくたになった__
 1. ひどく疲れた 
 2. のどがかわいた 
 3. お腹が空いた 
 4. 汗をかいた",1,,問題5\_\_\_の言葉に意味が最も近いものを、1. 2. 3. 4から一つ選びなさい。
"この1０年で、この鳥の自然環境__わずかに__変化した
 1. 急に 
 2. ゆっくり 
 3. 大きく 
 4. 少し",4,,問題5\_\_\_の言葉に意味が最も近いものを、1. 2. 3. 4から一つ選びなさい。
"田中さんは子供のころから__優秀__だったらしい
 1. あたまがよかった 
 2. 体が丈夫だった 
 3. 話がおもしろかった 
 4. 人気があった",1,,問題5\_\_\_の言葉に意味が最も近いものを、1. 2. 3. 4から一つ選びなさい。
"鈴木さんは恥ずかしそうに__うつむいていた__
 1. 横を向いて 
 2. 下を向いて 
 3. 頭をかいて 
 4. 鼻をかいて",2,,問題5\_\_\_の言葉に意味が最も近いものを、1. 2. 3. 4から一つ選びなさい。
"学生の時代の友人が__いきなり__訪ねてきた
 1. つぎつぎ 
 2. やっと 
 3. とつぜん 
 4. いちどに",3,,問題5\_\_\_の言葉に意味が最も近いものを、1. 2. 3. 4から一つ選びなさい。
"荷物の重さは__およそ__5キロでした。
 1. ぜんぶで 
 2. ぴったり 
 3. だいたい 
 4. それぞれ",3,,問題5\_\_の言葉に意味が最も近いものを、1・ 2・ 3・ 4から一つ選びなさい。
"もう少し具体的な__プラン__を教えてほしい。
 1. 理由 
 2. 情報 
 3. 特徴 
 4. 計画",4,,問題5\_\_の言葉に意味が最も近いものを、1・ 2・ 3・ 4から一つ選びなさい。
"市の経済状況は__依然として__厳しいらしい。
 1. 相変わらず 
 2. 思ったとおり 
 3. 実際には 
 4. これまでより",1,,問題5\_\_の言葉に意味が最も近いものを、1・ 2・ 3・ 4から一つ選びなさい。
"あのときは本当に__必死だった__。
 1. 危なかった 
 2. 一生懸命だった 
 3. 緊張した 
 4. 恐ろしかった",2,,問題5\_\_の言葉に意味が最も近いものを、1・ 2・ 3・ 4から一つ選びなさい。
"__山のふもと__にきれいな湖があります。
 1. 山の向こう 
 2. 山の上のほう 
 3. 山の中間あたり 
 4. 山の下のほう",4,,問題5\_\_の言葉に意味が最も近いものを、1・ 2・ 3・ 4から一つ選びなさい。
"文字のサイズを__そろえてく__ださい。
 1. 大きくして 
 2. 同じにして 
 3. 調べて 
 4. 教えて",2,,問題5\_\_の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"中野氏は、古い工場が取り壊されて空いた土地を__買いしめた__そうだ。
 1. 無理に買った 
 2. 全部買った 
 3. 安く買った 
 4. さっそく買った",2,,問題5\_\_の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"出発__間際に__、妹から電話がかかってきた。
 1. 直前 
 2. 直後 
 3. 当日 
 4. 前日",1,,問題5\_\_の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"薬を飲んだら__たちまち__痛みが治まった。
 1. すっかり 
 2. やっと 
 3. すぐに 
 4. たしかに",3,,問題5\_\_の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"もう__お勘定は済ましました__。
 1. 料理は注文しました 
 2. 店は予約しました 
 3. 店員は呼びました 
 4. お金は払いました",4,,問題5\_\_の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"この問題は、__ただちに__部長に報告しなければならない。
 1. あとで 
 2. ずぐに 
 3. くわしく 
 4. きちんと",2,,問題5\_\_の言葉に意味が最も近いものを、1、2、3、4から一つ選びなさい。
"隣の部屋がら__奇妙__な音が聞こえる
 1. 変な 
 2. にぎやかな 
 3. 大きな 
 4. 嫌な",1,,問題5\_\_の言葉に意味が最も近いものを、1、2、3、4から一つ選びなさい。
"明日までに、この資料を__仕上げて__おいてください。
 1. 出して 
 2. 直して 
 3. 完成させて 
 4. 移動させて",3,,問題5\_\_の言葉に意味が最も近いものを、1、2、3、4から一つ選びなさい。
"__日中__はアルバイトに行っています。
 1. 平日 
 2. 体日 
 3. 夜間 
 4. 昼間",4,,問題5\_\_の言葉に意味が最も近いものを、1、2、3、4から一つ選びなさい。
"このタオルとシャツは__しめっている__ね。
 1. まだきれいになっていない 
 2. まだ乾いていない 
 3. もうきれいになっている 
 4. もう乾いている",2,,問題5\_\_の言葉に意味が最も近いものを、1、2、3、4から一つ選びなさい。
"車にボールを__当てて__、しかられた。
 1. ぶつけて 
 2. 隠して 
 3. 落として 
 4. 詰めて",1,,問題5の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"その作家は__あわれな__人生を送った。
 1. 退屈な 
 2. おかしな 
 3. かわいそうな 
 4. 不安な",3,,問題5の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"__当分__は使わない予定です。
 1. これから 
 2. 全部 
 3. 今回 
 4. しばらく",4,,問題5の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"留学の話が__一転__した。
 1. 急に止まった 
 2. すっかり変わった 
 3. 少し進んだ 
 4. とうとう許された",2,,問題5の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"テストの前日になって__じたばたしても__しかたない。
 1. 慌てても 
 2. 心配しても 
 3. 緊張しても 
 4. 悩んでも",1,,問題5の言葉に意味が最も近いものを、1・2・3・4から一つ選びなさい。
"__温暖__
 1. 佐藤さんはいつも厳しいが、本当はとても__温暖__な性格の人だ。 
 2. 冷めるとおいしくないので、なるべく__温暖__なうちに召し上がってください。 
 3. この地方は__温暖__で暮らしやすく、野菜や果物などの農産物も豊富だ。 
 4. エアコンをつけたら、部屋の中が__温暖__になって眠くなってきた。",3,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"__振り向く__
 1. だれかに後ろから呼ばれたので__振り向いたら__、課長だった。 
 2. 道を渡るときは、左右を__振り向いて__車が来ないことを確認しよう。 
 3. だれかが空を指さしたので、近くにいた人たちが一斉に上を__振り向いた__。 
 4. 森さんは私を見ると、恥ずかしそうに下を__振り向いた__まま顔を上げなかった。",1,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"__用途__
 1. 新しい趣味を始めるため、時間の__用途__を工夫することにした。 
 2. 会社での私の__用途__は、新入社員の指導をすることだ。 
 3. 鈴木さんの才能は、多くの__用途__に生かされるだろう。 
 4. 本来の__用途__ではないが、この容器は花瓶にしてもいいと思う。",4,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"__甘やかす__
 1. 今年のA社の就職試験は、昨年より内容が__甘やかされている__。 
 2. 林さんは、ずっと親に__甘やかされて__育ったせいか、わがままで困る。 
 3. ひどくなったら大変だから、風邪を__甘やかされない__ほうがいいですよ。 
 4. 今日は、いつもより多めに砂糖を入れて、コーヒーを__甘やかした__。",2,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"__行方__
 1. この写真の二人は事件に関係があるらしいが、まだ__行方__が分からない。 
 2. 慌てていたので、__行方__を確かめずにパスに乗ってしまった。 
 3. 交差点を右に曲がると、__行方__に黒い高層ビルが見えた。 
 4. 日曜日の私の__行方__はいつも決まっていて、近くの喫茶店か図書館だ。",1,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"__はずす__
 1. 歯医者で虫歯を__はずし__てもらった。 
 2. 腕時計を__はずして__、 机の上に置いた。 
 3. 家に入る前に、 靴の汚れを__はずした__。 
 4. 食事の後、テーブルから皿を__はずした__。",2,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"__普及__
 1. 携帯電話は急速に__普及__してきている 
 2. 今、若者の間ではこんなうわさが__普及__している。 
 3. この病気は人から人へ__普及__する可能性がある。 
 4. あの大臣の発言は国際問題にまで__普及__した。",1,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"__注目__
 1. きれいな眺めに__注目__して、時間がたつのを忘れた。 
 2. 寝不足で__注目__が足りないと、 仕事でミスが多くなる。 
 3. 来月の選挙の結果が__注目__されている 
 4. この問題を別の__注目__から見てみよう。",3,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"__ふさわしい__
 1. 中川さんの指摘は、いつも__ふさわしい__です。 
 2. 彼は責任感が強く、この仕事のリーダーに__ふさわしい__。 
 3. 私に__ふさわしい__サイズの帽子がやっと見つかった。 
 4. 私、 あの人とは性格が__ふさわしい__んです。",2,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"__保つ__
 1. 山田さんは、いつも約束の時間を__保つ__人です。 
 2. 一人で全部食べないで、私の分も__保って__おいてください。 
 3. あとで捨てるので、ごみはそのまま__保って__おいていいですよ。 
 4. 健康を__保つ__ためには、バランスのいい食事と運動が大切だ。",4,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"__延長__
 1. 悪天候で列車が運転をやめたため、旅行の出発が三日後に__延長__された。 
 2. 初めの設計では2階建てだったが、3階建ての家に__延長__することにした。 
 3. 予定の時間内に結論が出ず、会議が1時間__延長__されることになった。 
 4. 電車の中で居眠りをして、降りる駅を一駅__延長__してしまった。",3,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"__さびる__
 1. 暑いところに生ものをずっと置いておいたら、__さびて__臭くなった。 
 2. 昨夜は雨が相当降ったらしく、普段はきれいな川の水が__さびて__濁っている。 
 3. 鉢に植えた植物に水をやるのを忘れていたら、花が__さびて__しまった。 
 4. この鉄の棒はずっと家の外に置いてあったので、__さびて__茶色くなっている。",4,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"__目上__
 1. 勉強会に参加した社員がすべて__目上__だったので、新人の私はとても緊張した。 
 2. この店で一番値段が高く__目上__の商品は、店の奥にある棚に並べられていた。 
 3. 高校時代、鈴木さんはとても優秀で、成績はいつも学年で__目上__だった。 
 4. あの若さで金賞を受賞した伊藤さんは、本当に__目上__の人だと思う。",1,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"__大げさ__
 1. 息子の誕生日に料理を作りすぎてしまい、__大げさ__に余ってしまった。 
 2. 天気予報によると、明日は今日より__大げさ__に気温が下がるらしい。 
 3. 努力した結果、試験の成績が__大げさ__に伸びて、先生に褒められた。 
 4. あの人は小さなことを__大げさ__に言うので、そのまま信じないほうがいい。",4,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"__反省__
 1. 発表の原稿を全部覚えたのに、緊張のせいでどんなに__反省__しても全く思い出せない。 
 2. 今回の企画では、私の準備不足で周りに迷惑をかけたことをとても__反省__しています。 
 3. 祖父はいつも若いころの思い出を懐かしそうに__反省__して私に話してくれる。 
 4. この機械の使い方を忘れないように、もう一度最初から__反省__しておきましょう。",2,,問題 6 次の言葉の使い方として最も近いものを、１・２・３・４から一つ選びなさい。
"廃止
 1. 予想以上のコストがかかることがわかり、新製品の開発が__廃止__した。 
 2. 石川さんは毎日ジョッギングすることを__廃止__したらしい。 
 3. ほかの人に話すことで、不安を__廃止__できることもある。 
 4. あの現行は ATM 手数無料のサービスを__廃止__するそうだ。",4,,問題 6：次の言葉の使い方として最もよいものを 1・2・3・4 から一つ選びなさい。
"初歩
 1. 三年前に英語を__初歩__から始め、今では自由に話せるようになった。 
 2. バスケットボールの試合で、__初歩__から大量の点を取られた。 
 3. 今日は暑さはまだほんの__初歩__で、これからますます暑くなっていくだろう。 
 4. 兄とけんかの__初歩__は、くだらないことだった。",1,,問題 6：次の言葉の使い方として最もよいものを 1・2・3・4 から一つ選びなさい。
