Question,Answers,Comment,freq
皁莢,さいかち,,286934
馬刀貝,まてがい,,287076
戯奴,わけ,,288015
野干玉,ぬばたま,,288683
樹懶,なまけもの,,288948
赤翡翠,あかしょうびん,,290166
凌霄花,のうぜんかずら,,290635
金亀子,こがねむし,,291011
吉丁虫,たまむし,,291084
竹節虫,ななふし,,291699
馬克,マルク,,292512
鴨脚樹,いちょう,,292716
金翅雀,ひわ,,292728
苦参,くらら,,293722
備後表,びんごおもて,,293977
氷下魚,こまい,,294192
浦塩斯徳,ウラジオストク,,294309
鵜松明樺,うだいかんば,,294572
没食子蜂,ふしばち,,295221
黄檗,きはだ,,295641
芥虫,ごみむし,,296467
海参,いりこ,,296743
薯蕷,とろろ,,297063
黄葵,とろろあおい,,297114
竹麦魚,ほうぼう,,297230
羅馬尼亜,ルーマニア,,297453
吹螺,ほらがい,,297728
不知不識,しらずしらず,,297932
寄生蠅,やどりばえ,,298444
黴雨,つゆ,,299133
御祖母さん,おばあさん,,299853
身舎,もや,,300943
山桜桃,ゆすらうめ,,301405
黄蜀葵,とろろあおい,,301441
親族,うから,,302401
海鰻,あなご,,302539
悄悄,しおしお,,303109
裳階,もこし,,303537
馬尾藻,ほんだわら,,304028
達頼喇嘛,ダライラマ,,304709
水雲,もずく,,304861
白馬,あおうま,,306201
梅花皮,かいらぎ,,307130
兄矢,はや,,307653
桃花鳥,とき,,307987
五十雀,ごじゅうから,,308597
粔籹,おこし,,308645
蚊母鳥,よたか,,309847
埴猪口,へなちょこ,,310759
雀鷹,つみ,,310795
方便,たずき,,310901
歩行虫,おさむし,,312377
外方,そっぽ,,312643
鉸具,かこ,,312677
翻車魚,まんぼう,,312997
虚言,そらごと,,313401
鯎,うぐい,,313455
底翳,そこひ,,314044
鴾毛,つきげ,,315060
方頭魚,かながしら,,316860
鶏魚,いさき,,316973
水綿,あおみどろ,,316983
刺蛾,いらが,,317132
𰻞𰻞麺,ビャンビャンめん,,not
弧光灯,アークトウ,,not
扁桃,アーモンド,,not
合決,あいじゃくり,,not
氷菓子,アイスクリーム,,not
鮎魚女,あいなめ,,not
鮎並,あいなめ,,not
青緡,あおざし,,not
青繦,あおざし,,not
緑鳩,あおばと,,not
満江紅,あかうきくさ,,not
見風乾,あかしで,,not
贖児,あがちご,,not
班田,あかちだ,,not
茜草,あかね,,not
地血,あかね,,not
明衣,あかは,,not
柳葉菜,あかばな,,not
榔楡,あきにれ,,not
商人,あきんど,,not
趺坐,あぐら,,not
盤領,あげくび,,not
山女,あけび,,not
丁翁,あけび,,not
赤秀,あこう,,not
牽牛花,あさがお,,not
白辛樹,あさがら,,not
朝勤,あさじ,,not
糸葱,あさつき,,not
水豹,あざらし,,not
蛤仔,あさり,,not
葦牙,あしかび,,not
八仙花,あじさい,,not
鹹草,あしたば,,not
阿育王,アショーカオウ,,not
阿輸迦王,アショーカオウ,,not
飛鳥,あすか,,not
羅漢柏,あすなろ,,not
叉倉,あぜくら,,not
汗肬,あせも,,not
朝臣,あそん,,not
化野,あだしの,,not
阿茶羅漬,アチャラづけ,,not
彼方,あちら,,not
宛行,あてがい,,not
当所,あてど,,not
雅典,アテネ,,not
貴人,あてびと,,not
恐惶,あなかしこ,,not
望潮魚,いいだこ,,not
墨魚,いか,,not
笊籬,いかき,,not
玉筋魚,いかなご,,not
何如,いかん,,not
何若,いかん,,not
何奈,いかん,,not
海髪,いぎす,,not
髪菜,いぎす,,not
沙子,いさご,,not
大角草,いささぐさ,,not
磯魚,いさな,,not
小魚,いさな,,not
五十集,いさば,,not
尻当,いしきあて,,not
石子,いしなご,,not
石投,いしなご,,not
石首魚,いしもち,,not
茅膏菜,いしもちそう,,not
交喙,いすか,,not
蚊母樹,いすのき,,not
縮縫,いせ,,not
竜蝦,いせえび,,not
葵,いそぎんちゃく,,not
伊曽保,イソップ,,not
伊蘇普,イソップ,,not
木蓮子,いたび,,not
赤檮,いちい,,not
覆盆子,いちご,,not
鴟尾草,いちはつ,,not
黄麻,いちび,,not
鹿蹄草,いちやくそう,,not
豆娘,いととんぼ,,not
金糸魚,いとよりだい,,not
金線魚,いとよりだい,,not
粗榧,いぬがや,,not
磚子苗,いぬくぐ,,not
仙毛欅,いぬぶな,,not
羅漢松,いぬまき,,not
牛膝,いのこずち,,not
水樹,いぼたのき,,not
肬取木,いぼたのき,,not
水樹虫,いぼたろうむし,,not
斎子,いむこ,,not
妹兄,いもせ,,not
稲熱病,いもちビョウ,,not
弥弥,いよいよ,,not
郎子,いらつこ,,not
郎女,いらつめ,,not
刺虫,いらむし,,not
回鶻,ウイグル,,not
火酒,ウォッカ,,not
斥候,うかみ,,not
浮萍,うきくさ,,not
五加木,うこぎ,,not
楊櫨木,うつぎ,,not
現人,うつせみ,,not
鱓魚,うつぼ,,not
猪籠草,うつぼかずら,,not
土当帰,うど,,not
善知鳥,うとう,,not
髫髪,うない,,not
池溝,うなて,,not
一角獣,ウニコール,,not
蕎麦葉貝母,うばゆり,,not
産土,うぶすな,,not
連枝草,うまごやし,,not
績麻,うみお,,not
竜葵,うみほおずき,,not
落霜紅,うめもどき,,not
虎掌,うらしまそう,,not
白梨樹,うらじろのき,,not
守瓜,うりばえ,,not
得撫島,ウルップトウ,,not
後妻,うわなり,,not
次妻,うわなり,,not
蛇,うわばみ,,not
外障,うわひ,,not
上不見桜,うわみずざくら,,not
画韋,えがわ,,not
愛迪生,エジソン,,not
狗母魚,えそ,,not
藍菊,えぞぎく,,not
胡菫菜,えぞすみれ,,not
枝尺蠖,えだしゃくとり,,not
岐路,えだみち,,not
択捉,えとろふ,,not
葡萄,えび,,not
疫病,えやみ,,not
瘧草,えやみぐさ,,not
追風,おいて,,not
老女,おうな,,not
従祖母,おおおば,,not
大鼓,おおかわ,,not
祖父,おおじ,,not
蒼鷹,おおたか,,not
祖母,おおば,,not
極光,オーロラ,,not
黄心樹,おがたまのき,,not
珍珠菜,おかとらのお,,not
御内儀,おかみ,,not
清器,おかわ,,not
白頭翁,おきなぐさ,,not
尺蠖,おぎむし,,not
金沸草,おぐるま,,not
旋覆花,おぐるま,,not
蒼朮,おけら,,not
白朮,おけら,,not
海髪,おごのり,,not
江籬,おごのり,,not
怖気,おじけ,,not
紫茉莉,おしろいばな,,not
嬋媛,おそよか,,not
蝌蚪,おたまじゃくし,,not
遠方,おちかた,,not
遠近,おちこち,,not
落人,おちゅうど,,not
牛津,オックスフォード,,not
御汁,おつけ,,not
海狗,おっとせい,,not
小連翹,おとぎりそう,,not
男郎花,おとこえし,,not
敗醬,おとこえし,,not
少女,おとめ,,not
野芝麻,おどりこそう,,not
巻耳,おなもみ,,not
追儺,おにやらい,,not
巻丹,おにゆり,,not
牛筋草,おひしば,,not
大鮃,おひょう,,not
紅樹,おひるぎ,,not
臆虫,おめむし,,not
面繫,おもがい,,not
面懸,おもがい,,not
面瘡,おもくさ,,not
重傷,おもで,,not
万年青,おもと,,not
花仙,かいどう,,not
蛙手,かえで,,not
鶏冠木,かえで,,not
槭樹,かえで,,not
鹿驚,かかし,,not
馬蹄草,かきどおし,,not
連銭草,かきどおし,,not
鉤状,かぎなり,,not
火光,かぎろい,,not
陽炎,かぎろい,,not
混合酒,カクテル,,not
杜夫魚,かくぶつ,,not
水夫,かこ,,not
汗衫,かざみ,,not
杜父魚,かじか,,not
金襖子,かじかがえる,,not
搗布,かじめ,,not
石陰子,かせ,,not
方人,かたうど,,not
片方,かたえ,,not
旁旁,かたがた,,not
気質,かたぎ,,not
鳩酸草,かたばみ,,not
酸漿草,かたばみ,,not
腸線,ガット,,not
蛇舅母,かなへび,,not
海金砂,かにくさ,,not
擬蠍,かにむし,,not
纈草,かのこそう,,not
加比丹,カピタン,,not
臭橙,かぶす,,not
鱟魚,かぶとがに,,not
蕪菁,かぶら,,not
香蒲,がま,,not
梭子魚,かます,,not
蒲魚,かまとと,,not
椿象,かめむし,,not
氈瓜,かもうり,,not
鴨嘴獣,かものはし,,not
響尾蛇,がらがらへび,,not
黄鳳蝶,きあげは,,not
懸鉤子,きいちご,,not
木蠹虫,きくいむし,,not
聞道,きくならく,,not
聞説,きくならく,,not
刻刻,ぎざぎざ,,not
段段,ぎざぎざ,,not
扁螺,きさご,,not
更衣,きさらぎ,,not
木淡,きざわし,,not
素地,きじ,,not
長寿花,きずいせん,,not
著長,きせなが,,not
被綿,きせわた,,not
爵牀,きつねのまご,,not
半銭,きなか,,not
規尼涅,キニーネ,,not
仙人帽,きぬがさたけ,,not
衣被,きぬかつぎ,,not
後朝,きぬぎぬ,,not
独脚蜂,きばち,,not
急焼,きびしょ,,not
吉備奈仔,きびなご,,not
旌節花,きぶし,,not
通条花,きぶし,,not
木五倍子,きぶし,,not
擬宝珠,ぎぼうし,,not
玉花,ぎぼうし,,not
紫萼,ぎぼうし,,not
沈菜,キムチ,,not
黄紫茸,きむらたけ,,not
気宇仙,きゅうせん,,not
姉妹,きょうだい,,not
姉弟,きょうだい,,not
雪花菜,きらず,,not
雲母,きらら,,not
金瘡小草,きらんそう,,not
斯,きりぎりす,,not
尾能,きりのう,,not
布地,きれじ,,not
切処,きれっと,,not
金海鼠,きんこ,,not
光参,きんこ,,not
紅南瓜,きんとうが,,not
青蠅,きんばえ,,not
蒟醬,キンマ,,not
秧鶏,くいな,,not
威霊仙,くがいそう,,not
傀儡子,くぐつ,,not
海州常山,くさぎ,,not
臭牡丹樹,くさぎ,,not
白屈菜,くさのおう,,not
黄連花,くされだま,,not
小角,くだのふえ,,not
瀉腹,くだりばら,,not
卮子,くちなし,,not
聒聒児,くつわむし,,not
香橘,くねんぼ,,not
熊谷草,くまがいそう,,not
熊啄木鳥,くまげら,,not
山白竹,くまざさ,,not
角鷹,くまたか,,not
馬鞭草,くまつづら,,not
山藤,くまやなぎ,,not
蛇藤,くまやなぎ,,not
呉桃,くるみ,,not
鼠李,くろうめもどき,,not
烏竹,くろちく,,not
桄榔,くろつぐ,,not
桄榔子,くろつぐ,,not
烏豆,くろまめ,,not
黒海布,くろめ,,not
黒布,くろめ,,not
黒菜,くろめ,,not
烏樟,くろもじ,,not
鉤樟,くろもじ,,not
烏芋,くわい,,not
野蚕,くわご,,not
窩主,けいず,,not
毛布,ケット,,not
荷包牡丹,けまんそう,,not
蟹足腫,ケロイド,,not
化粧,けわい,,not
竜蝨,げんごろう,,not
臥亜,ゴア,,not
革茸,こうたけ,,not
皮茸,こうたけ,,not
茅,こうたけ,,not
蝠,こうもり,,not
洋傘,こうもり,,not
高加索,コーカサス,,not
雀躍,こおどり,,not
合子草,ごきづる,,not
烏木,こくたん,,not
越橘,こけもも,,not
木屑,こけら,,not
哥薩克,コサック,,not
金漆,こしあぶら,,not
帯下,こしけ,,not
秋桜,コスモス,,not
去年,こぞ,,not
此度,こたび,,not
此方,こちら,,not
麻葉繡毬,こでまり,,not
二合半,こなから,,not
鴨舌草,こなぎ,,not
小水葱,こなぎ,,not
練墨,こねずみ,,not
以来,このかた,,not
海鼠子,このこ,,not
側柏,このてがしわ,,not
兄鷂,このり,,not
小鉤,こはぜ,,not
戈壁,ゴビ,,not
氷魚,こまい,,not
玄参,ごまのはぐさ,,not
黒参,ごまのはぐさ,,not
塵芥虫,ごみむし,,not
交交,こもごも,,not
石伏魚,ごり,,not
無頼,ごろつき,,not
野鴉椿,ごんずい,,not
巨頭鯨,ごんどうくじら,,not
円規,コンパス,,not
洋刀,サーベル,,not
洋剣,サーベル,,not
木椎,さいづち,,not
貲布,さいみ,,not
楊桐,さかき,,not
鹿砦,さかもぎ,,not
月代,さかやき,,not
月額,さかやき,,not
一昨昨日,さきおととい,,not
三毬杖,さぎちょう,,not
桜府,サクラメント,,not
桜桃,さくらんぼう,,not
安石榴,ざくろ,,not
粟米草,ざくろそう,,not
青箭魚,さごし,,not
拳螺,さざえ,,not
篠竹,ささたけ,,not
茶梅,さざんか,,not
刺椿象,さしがめ,,not
刺亀虫,さしがめ,,not
銚子,さしなべ,,not
指焼草,さしもぐさ,,not
拶双魚,さっぱ,,not
甘蔗,さとうきび,,not
条虫,さなだむし,,not
南五味子,さねかずら,,not
酸棗,さねぶとなつめ,,not
青魚,さば,,not
青花魚,さば,,not
響銅,さはり,,not
胡銅器,さはり,,not
荒鮎,さびあゆ,,not
方済各,ザビエル,,not
番紅花,サフラン,,not
然迄,さまで,,not
遮莫,さもあらばあれ,,not
盤秤,さらばかり,,not
猿麻桛,さるおがせ,,not
紫薇,さるすべり,,not
怕痒樹,さるすべり,,not
胡孫眼,さるのこしかけ,,not
髑髏,されこうべ,,not
狗舌草,さわおぐるま,,not
山梗葉,さわぎきょう,,not
寿光木,さわぐるみ,,not
花柏,さわら,,not
弱檜,さわら,,not
馬鮫魚,さわら,,not
蜀椒,さんしょう,,not
槐葉蘋,さんしょうも,,not
香,しいたけ,,not
鬼頭魚,しいら,,not
勒魚,しいら,,not
沙翁,シェークスピア,,not
牛尾菜,しおで,,not
市俄古,シカゴ,,not
云云,しかじか,,not
重,しげどう,,not
竜爪稗,しこくびえ,,not
色丹,しこたん,,not
笑靨花,しじみばな,,not
下枝,しずえ,,not
鞋底魚,したびらめ,,not
吐綬鶏,しちめんちょう,,not
尻腰,しっこし,,not
息長鳥,しながどり,,not
君遷子,しなのがき,,not
垣衣,しのぶぐさ,,not
萊草,しば,,not
青蝦,しばえび,,not
数数,しばしば,,not
蠹魚,しみ,,not
玉,しめじ,,not
耆那教,ジャイナキョウ,,not
胡蝶花,しゃが,,not
青竜蝦,しゃこ,,not
南燭,しゃしゃんぼ,,not
素馨,ジャスミン,,not
耶悉茗,ジャスミン,,not
天社蛾,しゃちほこが,,not
襯衣,シャツ,,not
沿階草,じゃのひげ,,not
和人,シャモ,,not
十二雀,じゅうにから,,not
背負子,しょいこ,,not
世帯,しょたい,,not
初中後,しょっちゅう,,not
醢汁,しょっつる,,not
鴉葱,しらいとそう,,not
鱠残魚,しらうお,,not
銀魚,しらうお,,not
白癬,しらくも,,not
白禿瘡,しらくも,,not
芋苗,ずいき,,not
蘇士,スエズ,,not
清搔,すががき,,not
接続草,すぎな,,not
問荊,すぎな,,not
寸莎,すさ,,not
従者,ずさ,,not
篠竹,すずたけ,,not
金鐘児,すずむし,,not
看麦娘,すずめのてっぽう,,not
胡蜂,すずめばち,,not
末濃,すそご,,not
寸寸,ずたずた,,not
魑魅,すだま,,not
渚鳥,すどり,,not
棠梨,ずみ,,not
天皇,すめらみこと,,not
建蘭,するがらん,,not
素破,すわ,,not
石花,せ,,not
蒸籠,せいろう,,not
脊黄青鸚哥,せきせいいんこ,,not
瞿麦,せきちく,,not
女衒,ぜげん,,not
石漆,せしめうるし,,not
錦葵,ぜにあおい,,not
地銭,ぜにごけ,,not
鬼鍼草,せんだんぐさ,,not
剪秋羅,せんのう,,not
当薬,せんぶり,,not
紫萁,ぜんまい,,not
撥条,ぜんまい,,not
象鼻虫,ぞうむし,,not
曹達水,ソーダスイ,,not
続飯,そくい,,not
若干,そこばく,,not
内障,そこひ,,not
其方此方,そちこち,,not
其方,そちら,,not
鳳尾松,そてつ,,not
鉄蕉,そてつ,,not
鉄樹,そてつ,,not
其方,そなた,,not
雀卵斑,そばかす,,not
抑抑,そもそも,,not
冬青,そよご,,not
幫間,たいこもち,,not
洋玉蘭,たいさんぼく,,not
回青橙,だいだい,,not
金剛石,ダイヤモンド,,not
大戟,たかとうだい,,not
大芥菜,たかな,,not
水爬虫,たがめ,,not
鉄刀木,たがやさん,,not
内匠,たくみ,,not
紙鳶,たこ,,not
担桶,たご,,not
栄蘭,たこのき,,not
露兜樹,たこのき,,not
海燕,たこのまくら,,not
手,たすき,,not
蜀葵,たちあおい,,not
帯魚,たちうお,,not
活計,たつき,,not
裁着,たっつけ,,not
裁衣,たっつけ,,not
仮令,たとい,,not
縦令,たとい,,not
帖紙,たとうがみ,,not
水豆児,たぬきも,,not
憑子,たのもし,,not
葱頭,たまねぎ,,not
玉花,たまのかんざし,,not
玉響,たまゆら,,not
頑癬,たむし,,not
大口魚,たら,,not
垂領,たりくび,,not
誰某,たれがし,,not
楽車,だんじり,,not
単寧,タンニン,,not
駄袋,だんぶくろ,,not
暗闘,だんまり,,not
暗争,だんまり,,not
乾酪,チーズ,,not
狼尾草,ちからしば,,not
断雲,ちぎれぐも,,not
萵,ちしゃ,,not
松楊,ちしゃのき,,not
天青地白,ちちこぐさ,,not
斉斉哈爾,チチハル,,not
茅渟鯛,ちぬだい,,not
西蔵,チベット,,not
金粟蘭,ちゃらん,,not
哨吶,チャルメラ,,not
鬱金香,チューリップ,,not
金魚蝨,ちょう,,not
丁香,ちょうじ,,not
水甘草,ちょうじそう,,not
手水,ちょうず,,not
手斧,ちょうな,,not
赤古里,チョゴリ,,not
点点,ちょぼちょぼ,,not
甘露子,ちょろぎ,,not
玉環菜,ちょろぎ,,not
草石蚕,ちょろぎ,,not
著羅絹,チョロケン,,not
身柱,ちりけ,,not
天柱,ちりけ,,not
銚釐,ちろり,,not
築牆,ついジ,,not
入梅,ついり,,not
海鏡,つきひがい,,not
寒蟬,つくつくぼうし,,not
仏掌薯,つくねいも,,not
江浦草,つくも,,not
菜瓜,つけうり,,not
晦日,つごもり,,not
地錦,つた,,not
山珊瑚,つちあけび,,not
蛇菰,つちとりもち,,not
地胆,つちはんみょう,,not
蛍蛆,つちぼたる,,not
苞苴,つと,,not
黄麻,つなそ,,not
綱麻,つなそ,,not
光桃,つばいもも,,not
油桃,つばいもも,,not
茅花,つばな,,not
乙鳥,つばめ,,not
陰蝨,つぶじらみ,,not
鷸子,つぶり,,not
菫菜,つぼすみれ,,not
雀鷂,つみ,,not
摘入,つみれ,,not
紡錘,つむ,,not
旋風,つむじかぜ,,not
鴨跖草,つゆくさ,,not
熟熟,つらつら,,not
長吻虻,つりあぶ,,not
何首烏,つるどくだみ,,not
羊乳,つるにんじん,,not
落葵,つるむらさき,,not
通古斯,ツングース,,not
槓杆,てこ,,not
勾欄,てすり,,not
鉄線蓮,てっせん,,not
粘葉装,でっちょうそう,,not
出頰,でづら,,not
草蝦,てながえび,,not
手摩乳,てなずち,,not
頂辺,てへん,,not
石花菜,てんぐさ,,not
偽瓢虫,てんとうむしだまし,,not
桃金嬢,てんにんか,,not
三角楓,とうかえで,,not
王不留行,どうかんそう,,not
春宮,とうぐう,,not
沢漆,とうだいぐさ,,not
灯台躑躅,どうだんつつじ,,not
蕃南瓜,とうなす,,not
鶤鶏,とうまる,,not
左右,とかく,,not
蝘蜓,とかげ,,not
常磐,ときわ,,not
常盤,ときわ,,not
瓊脂,ところてん,,not
祈年,としごい,,not
七葉樹,とち,,not
水鼈,とちかがみ,,not
縕袍,どてら,,not
金線蛙,とのさまがえる,,not
点火,とぼし,,not
蕃茄,トマト,,not
草烏頭,とりかぶと,,not
俘虜,とりこ,,not
杜翁,トルストイ,,not
吐魯蕃,トルファン,,not
永久,とわ,,not
左義長,どんど,,not
香螺,ながにし,,not
菜椿象,ながめ,,not
菜亀虫,ながめ,,not
水葱,なぎ,,not
亡軀,なきがら,,not
余波,なごり,,not
花楸樹,ななかまど,,not
名告,なのり,,not
山芹菜,なべな,,not
続断,なべな,,not
生海布,なまめ,,not
寧楽,なら,,not
平城,なら,,not
業平竹,なりひらだけ,,not
黄精,なるこゆり,,not
蜀椒,なるはじかみ,,not
可成,なるべく,,not
烏臼,なんきんはぜ,,not
南京黄櫨,なんきんはぜ,,not
南天燭,なんてん,,not
野菰,なんばんぎせる,,not
苦棟樹,にがき,,not
黄瓜菜,にがな,,not
滷汁,にがり,,not
苦塩,にがり,,not
仮漆,ニス,,not
蝸螺,にな,,not
鰾膠,にべ,,not
鮸膠,にべ,,not
郁李,にわうめ,,not
胡蘿蔔,にんじん,,not
叩頭虫,ぬかずきむし,,not
烏珠,ぬばたま,,not
子,ねじ,,not
鼠坊,ねずっぽ,,not
女貞,ねずみもち,,not
糸,ねなしかずら,,not
沢蒜,ねびる,,not
凌霄葉蓮,のうぜんはれん,,not
仰領,のけくび,,not
苦菜,のげし,,not
前胡,のだけ,,not
土当帰,のだけ,,not
濃餅汁,のっぺいじる,,not
山蒜,のびる,,not
和尚菜,のぶき,,not
山石榴,のぼたん,,not
生血,のり,,not
提琴,バイオリン,,not
高襟,ハイカラ,,not
鳳梨,パイナップル,,not
偃松,はいまつ,,not
南風,はえ,,not
胡枝子,はぎ,,not
胡枝花,はぎ,,not
玉鈴花,はくうんぼく,,not
満天星,はくちょうげ,,not
六月雪,はくちょうげ,,not
白熊,はぐま,,not
玉蘭,はくもくれん,,not
錦帯花,はこねうつぎ,,not
虎茄,はしりどころ,,not
馬尾毛,ばす,,not
勢車,はずみぐるま,,not
蝦虎魚,はぜ,,not
爆米,はぜ,,not
燭魚,はたはた,,not
雷魚,はたはた,,not
青頭菌,はつたけ,,not
巴布,パップ,,not
紫荊,はなずおう,,not
知母,はなすげ,,not
牛縻,はなづら,,not
甘蕉,バナナ,,not
瓶爾小草,はなやすり,,not
陰地蕨,はなわらび,,not
羽隠虫,はねかくし,,not
河内,ハノイ,,not
蕃瓜樹,パパイア,,not
鼠麴草,ははこぐさ,,not
飯匙倩,はぶ,,not
蛇牀,はまぜり,,not
玫瑰,はまなす,,not
黄槿,はまぼう,,not
文珠蘭,はまゆう,,not
金花虫,はむし,,not
疾風,はやて,,not
隼人,はやと,,not
大角,はらのふえ,,not
一葉,はらん,,not
蜘蛛抱蛋,はらん,,not
刺楸,はりぎり,,not
魚虎,はりせんぼん,,not
洋琴,ピアノ,,not
廂間,ひあわい,,not
曽祖父,ひいじじ,,not
海狸,ビーバー,,not
曽祖母,ひいばば,,not
枸榾,ひいらぎ,,not
杠谷樹,ひいらぎ,,not
十大功労,ひいらぎなんてん,,not
麦酒,ビール,,not
射干,ひおうぎ,,not
石松,ひかげのかずら,,not
石蒜,ひがんばな,,not
陰行草,ひきよもぎ,,not
魚籃,びく,,not
食火鶏,ひくいどり,,not
茅蜩,ひぐらし,,not
小舌,ひこ,,not
平江帯,ひごたい,,not
漏蘆,ひごたい,,not
鹿角菜,ひじき,,not
犇犇,ひしひし,,not
緊緊,ぴしぴし,,not
喫驚,びっくり,,not
睡蓮,ひつじぐさ,,not
一行,ひとくだり,,not
石韋,ひとつば,,not
麗春花,ひなげし,,not
日次,ひなみ,,not
老成,ひね,,not
扁柏,ひのき,,not
竹根蛇,ひばかり,,not
姫莎草,ひめくぐ,,not
赤栴檀,ひめしゃら,,not
山丹,ひめゆり,,not
神籬,ひもろぎ,,not
檜柏,びゃくしん,,not
檀香,びゃくだん,,not
金糸桃,びようやなぎ,,not
白英,ひよどりじょうご,,not
山蘭,ひよどりばな,,not
顋門,ひよめき,,not
金字塔,ピラミッド,,not
扁虫,ひらむし,,not
鼓子花,ひるがお,,not
旋花,ひるがお,,not
緬甸,ビルマ,,not
眼子菜,ひるむしろ,,not
拍板,びんざさら,,not
回回教,フイフイキョウ,,not
費府,フィラデルフィア,,not
白花菜,ふうちょうそう,,not
款冬,ふき,,not
菜蕗,ふき,,not
不器用,ぶきっちょ,,not
側金盞花,ふくじゅそう,,not
陰囊,ふぐり,,not
酔魚草,ふじうつぎ,,not
臥処,ふしど,,not
蘭草,ふじばかま,,not
家猪,ぶた,,not
両人,ふたり,,not
及己,ふたりしずか,,not
恭菜,ふだんそう,,not
宿酔,ふつかよい,,not
海蛆,ふなむし,,not
海蘿,ふのり,,not
忽比烈,フビライ,,not
忽必烈,フビライ,,not
蟇子,ぶゆ,,not
牛皮凍,へくそかずら,,not
女青,へくそかずら,,not
黒死病,ペスト,,not
威内斯,ベニス,,not
紅菰,べにたけ,,not
紅藍花,べにばな,,not
陰核,へのこ,,not
放屁虫,へひりむし,,not
倍良,べら,,not
可坊,べらぼう,,not
番瀝青,ペンキ,,not
景天,べんけいそう,,not
染指草,ほうせんか,,not
孑孒,ぼうふら,,not
釵子股,ぼうらん,,not
厚朴,ほおのき,,not
行器,ほかい,,not
黶子,ほくろ,,not
鉄脚梨,ぼけ,,not
乾鰯,ほしか,,not
乾海鼠,ほしこ,,not
海扇,ほたてがい,,not
山小菜,ほたるぶくろ,,not
上枝,ほつえ,,not
忽布,ホップ,,not
人面竹,ほていちく,,not
塊芋,ほど,,not
土芋,ほど,,not
元宝草,ほとけのざ,,not
郭公花,ほととぎす,,not
杜鵑草,ほととぎす,,not
油点草,ほととぎす,,not
蜀魄,ほととぎす,,not
杜宇,ほととぎす,,not
花瑠瑠,ホノルル,,not
老海鼠,ほや,,not
梭尾螺,ほらがい,,not
珠鶏,ほろほろちょう,,not
微酔,ほろよい,,not
英斤,ポンド,,not
封度,ポンド,,not
孟買,ボンベイ,,not
蝸牛被,まいまいかぶり,,not
英里,マイル,,not
密夫,まおとこ,,not
密男,まおとこ,,not
旋網,まきあみ,,not
海仁草,まくり,,not
丈夫,ますらお,,not
籬垣,ませがき,,not
胯座,またぐら,,not
苦竹,まだけ,,not
区区,まちまち,,not
松毬,まつぼっくり,,not
松陰囊,まつぼっくり,,not
山蘿蔔,まつむしそう,,not
馬蛤貝,まてがい,,not
全手葉椎,まてばしい,,not
馬刀葉椎,まてばしい,,not
団居,まどい,,not
全人,まとうど,,not
眼指,まなざし,,not
眼差,まなざし,,not
目指,まなざし,,not
蚕簿,まぶし,,not
射翳,まぶし,,not
斑杖,まむしぐさ,,not
大豆粕,まめかす,,not
矮鹿,まめじか,,not
両下,まや,,not
金縷梅,まんさく,,not
玉柏,まんねんすぎ,,not
神酒,みき,,not
黒三稜,みくり,,not
三稜草,みくり,,not
雎鳩,みさご,,not
針孔,みず,,not
針眼,みず,,not
雨久花,みずあおい,,not
浮薔,みずあおい,,not
鐙靼,みずお,,not
灯台木,みずき,,not
水翻,みずこぼし,,not
鼓豆虫,みずすまし,,not
鼓虫,みずすまし,,not
消梨,みずなし,,not
水準,みずばかり,,not
金線草,みずひき,,not
角子,みずら,,not
巧婦鳥,みそさざい,,not
千屈菜,みそはぎ,,not
三人,みたり,,not
陸奥,みちのく,,not
睡菜,みつがしわ,,not
野蜀葵,みつば,,not
省沽油,みつばうつぎ,,not
黄瑞香,みつまた,,not
嬰児,みどりご,,not
三幅,みの,,not
三布,みの,,not
任那,みまな,,not
角鴟,みみずく,,not
木,みみずく,,not
完骨,みみせせ,,not
巻耳,みみなぐさ,,not
御幸,みゆき,,not
行幸,みゆき,,not
水押,みよし,,not
船首,みよし,,not
未蘭,ミラノ,,not
海松貝,みるがい,,not
海松布,みるめ,,not
行,むかばき,,not
樸樹,むくのき,,not
海布,め,,not
妻夫,めおと,,not
夫婦,めおと,,not
眼旗魚,めかじき,,not
妻敵,めがたき,,not
和布蕪,めかぶら,,not
和布刈,めかり,,not
小櫱,めぎ,,not
目癈,めしい,,not
囚人,めしゅうど,,not
繡眼児,めじろ,,not
右手,めて,,not
鉄掃箒,めどはぎ,,not
赤目魚,めなだ,,not
乳母,めのと,,not
益母草,めはじき,,not
乙甲,めりかり,,not
減上,めりかり,,not
仮面梟,めんふくろう,,not
摩西,モーセ,,not
痘瘡,もがさ,,not
鼴鼠,もぐら,,not
唐木香,もっこう,,not
厚皮香,もっこく,,not
盛相,もっそう,,not
牴牾,もどき,,not
紅絹,もみ,,not
妄榧,もみ,,not
紅葉,もみじ,,not
黄葉,もみじ,,not
身屋,もや,,not
主水,もんど,,not
門土里留,モントリオール,,not
水蠆,やご,,not
玄孫,やしゃご,,not
九面芋,やつがしら,,not
戴勝,やつがしら,,not
金剛纂,やつで,,not
八角金盤,やつで,,not
雇女,やとな,,not
雇仲居,やとな,,not
鶏眼草,やはずそう,,not
豹脚蚊,やぶか,,not
紫金牛,やぶこうじ,,not
窃衣,やぶじらみ,,not
貫衆,やぶそてつ,,not
天名精,やぶたばこ,,not
胡蝶樹,やぶでまり,,not
山峡,やまかい,,not
